grid_id_consolidated,pub_id
grid.1042.7,37e0f59c
grid.411784.f,37e0f59c
grid.4991.5,37e0f59c
grid.5801.c,cbdeecbf
grid.5252.0,cbdeecbf
grid.5252.0,cbdeecbf
grid.7400.3,cbdeecbf
grid.411984.1,d887b5e9
grid.418140.8,d887b5e9
grid.5252.0,1307561d
grid.6582.9,1307561d
grid.5252.0,1307561d
grid.5252.0,1307561d
grid.418140.8,b559eb08
grid.7429.8,4affdf1f
grid.5842.b,4affdf1f
grid.7450.6,4affdf1f
NA,4affdf1f
grid.7450.6,4affdf1f
grid.13648.38,4affdf1f
NA,4affdf1f
not_in_grid,4affdf1f
grid.14848.31,4affdf1f
grid.5718.b,4affdf1f
grid.7700.0,4affdf1f
grid.17635.36,d4113651
grid.411984.1,d4113651
NA,d4113651
grid.7450.6,236a79d0
grid.7450.6,236a79d0
grid.7450.6,236a79d0
grid.7450.6,236a79d0
grid.7450.6,236a79d0
grid.7450.6,236a79d0
grid.418140.8,422ae344
grid.7450.6,422ae344
grid.11843.3f,422ae344
grid.4444.0,422ae344
grid.5963.9,422ae344
grid.419495.4,422ae344
grid.4305.2,422ae344
grid.11480.3c,422ae344
grid.4711.3,422ae344
grid.7700.0,5d89110a
grid.411984.1,5d89110a
grid.418140.8,5d89110a
grid.5252.0,303f2d0f
grid.268433.8,abdf519d
grid.412287.a,abdf519d
grid.55460.32,abdf519d
grid.424247.3,3bc3a87a
grid.418928.e,3bc3a87a
grid.5252.0,3bc3a87a
grid.5252.0,3bc3a87a
grid.7450.6,3bc3a87a
grid.5252.0,3bc3a87a
grid.5252.0,3bc3a87a
grid.411984.1,bb39cc79
NA,bb39cc79
grid.7450.6,bb39cc79
grid.4367.6,bb39cc79
grid.419514.c,bb39cc79
grid.7450.6,bb39cc79
NA,bb39cc79
grid.7450.6,bb39cc79
grid.418140.8,6aa787af
grid.424247.3,6aa787af
grid.411984.1,6aa787af
grid.418140.8,6aa787af
grid.418140.8,6aa787af
grid.418140.8,6aa787af
grid.470125.5,6aa787af
grid.7450.6,6aa787af
grid.17091.3e,94980c9d
grid.17091.3e,94980c9d
grid.17091.3e,94980c9d
grid.419522.9,94980c9d
NA,94980c9d
grid.411984.1,8a9170b6
grid.411984.1,8a9170b6
grid.411984.1,8a9170b6
grid.7450.6,8a9170b6
grid.7450.6,8a9170b6
grid.419522.9,4c152626
grid.7450.6,4c152626
grid.418140.8,dfcc45ed
grid.418140.8,dfcc45ed
grid.4444.0,8f0fee7b
grid.10267.32,8f0fee7b
grid.10267.32,8f0fee7b
grid.5252.0,8f0fee7b
grid.5252.0,8f0fee7b
grid.14095.39,43b9c128
grid.6363.0,43b9c128
grid.6363.0,43b9c128
grid.419522.9,43b9c128
